Category,Name,Status,Link,Notes ( Fill in with your method to solve )
1-D Dynamic Programming,Maximum Product Subarray,,https://leetcode.com/problems/maximum-product-subarray/,
1-D Dynamic Programming,Word Break,,https://leetcode.com/problems/word-break/,
1-D Dynamic Programming,Longest Increasing Subsequence,,https://leetcode.com/problems/longest-increasing-subsequence/,
1-D Dynamic Programming,Partition Equal Subset Sum,,https://leetcode.com/problems/partition-equal-subset-sum/,
2-D Dynamic Programming,Unique Paths,,https://leetcode.com/problems/unique-paths/,
2-D Dynamic Programming,Longest Common Subsequence,,https://leetcode.com/problems/longest-common-subsequence/,
2-D Dynamic Programming,Best Time to Buy/Sell Stock With Cooldown,,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-cooldown/,
2-D Dynamic Programming,Coin Change II,,https://leetcode.com/problems/coin-change-2/,
2-D Dynamic Programming,Target SUm,,https://leetcode.com/problems/target-sum/,
2-D Dynamic Programming,Interleaving String,,https://leetcode.com/problems/interleaving-string/,
2-D Dynamic Programming,Longest Increasing Path in a Matrix,,https://leetcode.com/problems/longest-increasing-path-in-a-matrix/,
2-D Dynamic Programming,Distinct Subsequences,,https://leetcode.com/problems/distinct-subsequences/,
2-D Dynamic Programming,Edit Distance,,https://leetcode.com/problems/edit-distance/,
2-D Dynamic Programming,Burst Balloons,,https://leetcode.com/problems/burst-balloons/,
2-D Dynamic Programming,Regular Expression Matching,,https://leetcode.com/problems/regular-expression-matching/,
Greedy,Maximum Subarray,,https://leetcode.com/problems/maximum-subarray/,
Greedy,Jump Game,,https://leetcode.com/problems/jump-game/,
Greedy,Jump Game II,,https://leetcode.com/problems/jump-game-ii/,
Greedy,Gas Station,,https://leetcode.com/problems/gas-station/,
Greedy,Hand of Straights,,https://leetcode.com/problems/hand-of-straights/,
Greedy,Merge Triplets to Form Target Triplet,,https://leetcode.com/problems/merge-triplets-to-form-target-triplet/,
Greedy,Partition Labels,,https://leetcode.com/problems/partition-labels/,
Greedy,Valid Parenthesis String,,https://leetcode.com/problems/valid-parenthesis-string/,
Intervals,Insert Interval,,https://leetcode.com/problems/insert-interval/,
Intervals,Merge Intervals,,https://leetcode.com/problems/merge-intervals/,
Intervals,Non-Overlapping Intervals,,https://leetcode.com/problems/non-overlapping-intervals/,
Intervals,Meeting Rooms,,https://leetcode.com/problems/meeting-rooms/,
Intervals,Meeting Rooms II,,https://leetcode.com/problems/meeting-rooms-ii/,
Intervals,Minimum Interval to Include Each Query,,https://leetcode.com/problems/minimum-interval-to-include-each-query/,
Math & Geometry,Rotate Image,,https://leetcode.com/problems/rotate-image/,
Math & Geometry,Spiral Matrix,,https://leetcode.com/problems/spiral-matrix/,
Math & Geometry,Set Matrix Zeroes,,https://leetcode.com/problems/set-matrix-zeroes/,
